,sample_type,theta,cutp,cutn,seed_num,mes,stress_mean,sample_num
71,cut_second,-1.5707963267899998,1,-1,584,3.008589007,17502351.0,35.0
72,cut_first,0.0,1,-1,546,7.0691391422,17502351.0,36.0
73,cut_second,-1.5707963267899998,1,-1,546,6.015949872159999,17502351.0,36.0
74,cut_first,0.0,1,-1,267,5.56879040325,17502351.0,37.0
75,cut_second,-1.5707963267899998,1,-1,267,5.55665795686,17502351.0,37.0
76,cut_first,0.0,1,-1,26,5.8430879644400004,17502351.0,38.0
77,cut_second,-1.5707963267899998,1,-1,26,3.0909124323,17502351.0,38.0
78,cut_first,0.0,1,-1,56,5.76204999456,17502351.0,39.0
79,cut_second,-1.5707963267899998,1,-1,56,6.463409228400001,17502351.0,39.0
80,cut_first,0.0,1,-1,745,3.00765246388,17502351.0,40.0
81,cut_second,-1.5707963267899998,1,-1,745,3.31530811321,17502351.0,40.0
82,cut_first,0.0,1,-1,76,5.2234852278099995,17502351.0,41.0
83,cut_second,-1.5707963267899998,1,-1,76,5.48371662208,17502351.0,41.0
84,cut_first,0.0,1,-1,285,5.351544468869999,17502351.0,42.0
85,cut_second,-1.5707963267899998,1,-1,285,3.87579968314,17502351.0,42.0
86,cut_first,0.0,1,-1,330,6.463245851159999,17502351.0,43.0
87,cut_second,-1.5707963267899998,1,-1,330,6.710968369040001,17502351.0,43.0
88,cut_first,0.0,1,-1,896,7.81869726488,17502351.0,44.0
89,cut_second,-1.5707963267899998,1,-1,896,9.04248852398,17502351.0,44.0
90,cut_first,0.0,1,-1,946,6.336351855119999,17502351.0,45.0
91,cut_second,-1.5707963267899998,1,-1,946,6.4808101663199995,17502351.0,45.0
92,cut_first,0.0,1,-1,743,6.057909545939999,17502351.0,46.0
93,cut_second,-1.5707963267899998,1,-1,743,6.897338583130001,17502351.0,46.0
94,cut_first,0.0,1,-1,594,3.67321637274,17502351.0,47.0
95,cut_second,-1.5707963267899998,1,-1,594,4.31128196455,17502351.0,47.0
96,cut_first,0.0,1,-1,901,8.77564307515,17502351.0,48.0
97,cut_second,-1.5707963267899998,1,-1,901,9.121791592889998,17502351.0,48.0
98,cut_first,0.0,1,-1,586,7.950947545039999,17502351.0,49.0
99,cut_second,-1.5707963267899998,1,-1,586,6.64491721034,17502351.0,49.0
100,cut_first,0.0,1,-1,234,7.3791508206800005,17502351.0,50.0
101,cut_second,-1.5707963267899998,1,-1,234,8.49794134842,17502351.0,50.0
102,cut_first,0.0,1,-1,717,5.84514592292,17502351.0,51.0
103,cut_second,-1.5707963267899998,1,-1,717,4.49213438147,17502351.0,51.0
104,cut_first,0.0,1,-1,660,5.50679134436,17502351.0,52.0
105,cut_second,-1.5707963267899998,1,-1,660,4.95308267454,17502351.0,52.0
106,cut_first,0.0,1,-1,789,5.23738945541,17502351.0,53.0
107,cut_second,-1.5707963267899998,1,-1,789,7.54633117887,17502351.0,53.0
108,cut_first,0.0,1,-1,987,7.0365928464300005,17502351.0,54.0
109,cut_second,-1.5707963267899998,1,-1,987,5.258336674150001,17502351.0,54.0
110,cut_first,0.0,1,-1,650,9.154185975739999,17502351.0,55.0
111,cut_second,-1.5707963267899998,1,-1,650,7.7475701598,17502351.0,55.0
112,cut_first,0.0,1,-1,269,10.2466558408,17502351.0,56.0
113,cut_second,-1.5707963267899998,1,-1,269,8.154994379189999,17502351.0,56.0
114,cut_first,0.0,1,-1,862,5.930676661030001,17502351.0,57.0
115,cut_second,-1.5707963267899998,1,-1,862,6.22325413103,17502351.0,57.0
116,cut_first,0.0,1,-1,835,3.4326609073400003,17502351.0,58.0
117,cut_second,-1.5707963267899998,1,-1,835,5.50356732296,17502351.0,58.0
118,cut_first,0.0,1,-1,7,4.41729086848,17502351.0,59.0
119,cut_second,-1.5707963267899998,1,-1,7,2.99141664641,17502351.0,59.0
120,cut_first,0.0,1,-1,287,8.172311685930001,17502351.0,60.0
121,cut_second,-1.5707963267899998,1,-1,287,8.5325150148,17502351.0,60.0
122,cut_first,0.0,1,-1,657,4.07376024759,17502351.0,61.0
123,cut_second,-1.5707963267899998,1,-1,657,4.87054460792,17502351.0,61.0
124,cut_first,0.0,1,-1,280,5.74348654156,17502351.0,62.0
125,cut_second,-1.5707963267899998,1,-1,280,5.962024282280001,17502351.0,62.0
126,cut_first,0.0,1,-1,131,6.236040871980001,17502351.0,63.0
127,cut_second,-1.5707963267899998,1,-1,131,7.78927000768,17502351.0,63.0
128,cut_first,0.0,1,-1,375,5.5748033783099995,17502351.0,64.0
129,cut_second,-1.5707963267899998,1,-1,375,8.62300807792,17502351.0,64.0
130,cut_first,0.0,1,-1,113,9.11933756589,17502351.0,65.0
131,cut_second,-1.5707963267899998,1,-1,113,8.32753713421,17502351.0,65.0
132,cut_first,0.0,1,-1,255,3.84588177435,17502351.0,66.0
133,cut_second,-1.5707963267899998,1,-1,255,3.66196378319,17502351.0,66.0
134,cut_first,0.0,1,-1,419,7.18049480376,17502351.0,67.0
135,cut_second,-1.5707963267899998,1,-1,419,6.958243724289999,17502351.0,67.0
136,cut_first,0.0,1,-1,190,5.56781654724,17502351.0,68.0
137,cut_second,-1.5707963267899998,1,-1,190,6.609140105780001,17502351.0,68.0
138,cut_first,0.0,1,-1,220,8.651768711499999,17502351.0,69.0
139,cut_second,-1.5707963267899998,1,-1,220,8.8192336911,17502351.0,69.0
140,cut_first,0.0,1,-1,779,7.212019092769999,17502351.0,70.0
141,cut_second,-1.5707963267899998,1,-1,779,6.06413586838,17502351.0,70.0
142,cut_first,0.0,1,-1,159,4.66909039742,17502351.0,71.0
143,cut_second,-1.5707963267899998,1,-1,159,7.12712421291,17502351.0,71.0
144,cut_first,0.0,1,-1,307,6.004925829609999,17502351.0,72.0
145,cut_second,-1.5707963267899998,1,-1,307,6.8366031089999995,17502351.0,72.0
146,cut_first,0.0,1,-1,346,6.47567563415,17502351.0,73.0
147,cut_second,-1.5707963267899998,1,-1,346,6.07541462235,17502351.0,73.0
148,cut_first,0.0,1,-1,469,8.59488493804,17502351.0,74.0
149,cut_second,-1.5707963267899998,1,-1,469,7.22646040582,17502351.0,74.0
150,cut_first,0.0,1,-1,339,4.888900502,17502351.0,75.0
151,cut_second,-1.5707963267899998,1,-1,339,6.3592583008800005,17502351.0,75.0
152,cut_first,0.0,1,-1,910,5.8889864799,17502351.0,76.0
153,cut_second,-1.5707963267899998,1,-1,910,7.642060424049999,17502351.0,76.0
154,cut_first,0.0,1,-1,452,8.1551004184,17502351.0,77.0
155,cut_second,-1.5707963267899998,1,-1,452,8.65111194619,17502351.0,77.0
156,cut_first,0.0,1,-1,623,4.587523651580001,17502351.0,78.0
157,cut_second,-1.5707963267899998,1,-1,623,4.09808100608,17502351.0,78.0
158,cut_first,0.0,1,-1,991,8.94806715012,17502351.0,79.0
159,cut_second,-1.5707963267899998,1,-1,991,8.07920961404,17502351.0,79.0
160,cut_first,0.0,1,-1,616,7.24121793018,17502351.0,80.0
161,cut_second,-1.5707963267899998,1,-1,616,6.69054470321,17502351.0,80.0
162,cut_first,0.0,1,-1,744,7.583226477639999,17502351.0,81.0
163,cut_second,-1.5707963267899998,1,-1,744,7.70092093397,17502351.0,81.0
164,cut_first,0.0,1,-1,6,6.683615765569999,17502351.0,82.0
165,cut_second,-1.5707963267899998,1,-1,6,5.71912071495,17502351.0,82.0
166,cut_first,0.0,1,-1,432,5.23390427203,17502351.0,83.0
167,cut_second,-1.5707963267899998,1,-1,432,7.52597994849,17502351.0,83.0
168,cut_first,0.0,1,-1,144,2.0181509210099997,17502351.0,84.0
169,cut_second,-1.5707963267899998,1,-1,144,3.58384697111,17502351.0,84.0
170,cut_first,0.0,1,-1,97,5.93120975411,17502351.0,85.0
171,cut_second,-1.5707963267899998,1,-1,97,5.97615116768,17502351.0,85.0
172,cut_first,0.0,1,-1,59,7.84677194204,17502351.0,86.0
173,cut_second,-1.5707963267899998,1,-1,59,7.911479989439999,17502351.0,86.0
174,cut_first,0.0,1,-1,509,5.70560860894,17502351.0,87.0
175,cut_second,-1.5707963267899998,1,-1,509,5.736270198380001,17502351.0,87.0
176,cut_first,0.0,1,-1,598,4.47265228707,17502351.0,88.0
177,cut_second,-1.5707963267899998,1,-1,598,5.90765134256,17502351.0,88.0
178,cut_first,0.0,1,-1,651,4.80557187127,17502351.0,89.0
179,cut_second,-1.5707963267899998,1,-1,651,3.7227129479500003,17502351.0,89.0
180,cut_first,0.0,1,-1,451,6.5950903173599995,17502351.0,90.0
181,cut_second,-1.5707963267899998,1,-1,451,7.65073826146,17502351.0,90.0
182,cut_first,0.0,1,-1,488,7.3853592824000005,17502351.0,91.0
183,cut_second,-1.5707963267899998,1,-1,488,7.6085729547600005,17502351.0,91.0
184,cut_first,0.0,1,-1,490,7.032346007339999,17502351.0,92.0
185,cut_second,-1.5707963267899998,1,-1,490,6.168970009470001,17502351.0,92.0
186,cut_first,0.0,1,-1,985,5.55614044107,17502351.0,93.0
187,cut_second,-1.5707963267899998,1,-1,985,7.42843981166,17502351.0,93.0
188,cut_first,0.0,1,-1,566,6.8019495926,17502351.0,94.0
189,cut_second,-1.5707963267899998,1,-1,566,7.658837908410001,17502351.0,94.0
190,cut_first,0.0,1,-1,666,8.73756395917,17502351.0,95.0
191,cut_second,-1.5707963267899998,1,-1,666,9.87400637466,17502351.0,95.0
192,cut_first,0.0,1,-1,19,8.34454263697,17502351.0,96.0
193,cut_second,-1.5707963267899998,1,-1,19,7.7208661668300005,17502351.0,96.0
194,cut_first,0.0,1,-1,310,9.24622306359,17502351.0,97.0
195,cut_second,-1.5707963267899998,1,-1,310,9.68934511628,17502351.0,97.0
196,cut_first,0.0,1,-1,193,7.95126619023,17502351.0,98.0
197,cut_second,-1.5707963267899998,1,-1,193,6.60806194261,17502351.0,98.0
198,cut_first,0.0,1,-1,673,8.44777901284,17502351.0,99.0
199,cut_second,-1.5707963267899998,1,-1,673,6.33830812055,17502351.0,99.0
200,cut_first,0.0,1,-1,889,8.83900168765,17502351.0,100.0
201,cut_second,-1.5707963267899998,1,-1,889,9.8843022471,17502351.0,100.0
202,cut_first,0.0,1,-1,257,7.20710875746,17502351.0,101.0
203,cut_second,-1.5707963267899998,1,-1,257,5.9620041611,17502351.0,101.0
204,cut_first,0.0,1,-1,333,7.8240510166399995,17502351.0,102.0
205,cut_second,-1.5707963267899998,1,-1,333,5.95882376426,17502351.0,102.0
206,cut_first,0.0,1,-1,60,5.75495982253,17502351.0,103.0
207,cut_second,-1.5707963267899998,1,-1,60,7.669920239460001,17502351.0,103.0
208,cut_first,0.0,1,-1,102,5.896431768509999,17502351.0,104.0
209,cut_second,-1.5707963267899998,1,-1,102,5.10838747758,17502351.0,104.0
210,cut_first,0.0,1,-1,990,5.69021268714,17502351.0,105.0
211,cut_second,-1.5707963267899998,1,-1,990,7.04611482528,17502351.0,105.0
212,cut_first,0.0,1,-1,209,7.43605511237,17502351.0,106.0
213,cut_second,-1.5707963267899998,1,-1,209,6.95401382834,17502351.0,106.0
214,cut_first,0.0,1,-1,798,3.21870147634,17502351.0,107.0
215,cut_second,-1.5707963267899998,1,-1,798,5.89999348325,17502351.0,107.0
216,cut_first,0.0,1,-1,36,7.674724260900001,17502351.0,108.0
217,cut_second,-1.5707963267899998,1,-1,36,9.05771969773,17502351.0,108.0
218,cut_first,0.0,1,-1,522,6.384634773099999,17502351.0,109.0
219,cut_second,-1.5707963267899998,1,-1,522,5.6360951964199995,17502351.0,109.0
220,cut_first,0.0,1,-1,874,6.82491911766,17502351.0,110.0
221,cut_second,-1.5707963267899998,1,-1,874,5.7514882183200005,17502351.0,110.0
222,cut_first,0.0,1,-1,247,7.4106796797,17502351.0,111.0
223,cut_second,-1.5707963267899998,1,-1,247,6.8939644308100005,17502351.0,111.0
224,cut_first,0.0,1,-1,780,7.6685617516799995,17502351.0,112.0
225,cut_second,-1.5707963267899998,1,-1,780,9.00103214101,17502351.0,112.0
226,cut_first,0.0,1,-1,532,9.534962229269999,17502351.0,113.0
227,cut_second,-1.5707963267899998,1,-1,532,7.29089433521,17502351.0,113.0
228,cut_first,0.0,1,-1,765,7.384038632939999,17502351.0,114.0
229,cut_second,-1.5707963267899998,1,-1,765,8.87997466613,17502351.0,114.0
230,cut_first,0.0,1,-1,216,7.3153107337800005,17502351.0,115.0
231,cut_second,-1.5707963267899998,1,-1,216,6.07116195441,17502351.0,115.0
232,cut_first,0.0,1,-1,720,8.46218560967,17502351.0,116.0
233,cut_second,-1.5707963267899998,1,-1,720,6.22095579845,17502351.0,116.0
234,cut_first,0.0,1,-1,313,3.7557792561300003,17502351.0,117.0
235,cut_second,-1.5707963267899998,1,-1,313,6.05381603745,17502351.0,117.0
236,cut_first,0.0,1,-1,331,5.6877435167699995,17502351.0,118.0
237,cut_second,-1.5707963267899998,1,-1,331,3.20314244536,17502351.0,118.0
238,cut_first,0.0,1,-1,34,6.298900826880001,17502351.0,119.0
239,cut_second,-1.5707963267899998,1,-1,34,5.32755485964,17502351.0,119.0
240,cut_first,0.0,1,-1,726,7.28560375857,17502351.0,120.0
241,cut_second,-1.5707963267899998,1,-1,726,7.55912204353,17502351.0,120.0
242,cut_first,0.0,1,-1,533,4.398741949780001,17502351.0,121.0
243,cut_second,-1.5707963267899998,1,-1,533,7.25277649788,17502351.0,121.0
244,cut_first,0.0,1,-1,226,5.27155139925,17502351.0,122.0
245,cut_second,-1.5707963267899998,1,-1,226,4.73580811252,17502351.0,122.0
246,cut_first,0.0,1,-1,768,7.64444571252,17502351.0,123.0
247,cut_second,-1.5707963267899998,1,-1,768,7.96043580987,17502351.0,123.0
248,cut_first,0.0,1,-1,115,7.332950834400001,17502351.0,124.0
249,cut_second,-1.5707963267899998,1,-1,115,7.8527354337199995,17502351.0,124.0
250,cut_first,0.0,1,-1,611,8.00312887523,17502351.0,125.0
251,cut_second,-1.5707963267899998,1,-1,611,7.362434372769999,17502351.0,125.0
252,cut_first,0.0,1,-1,653,4.75641290105,17502351.0,126.0
253,cut_second,-1.5707963267899998,1,-1,653,4.71402024074,17502351.0,126.0
254,cut_first,0.0,1,-1,93,7.13216232,17502351.0,127.0
255,cut_second,-1.5707963267899998,1,-1,93,6.7972272592,17502351.0,127.0
256,cut_first,0.0,1,-1,17,7.68629734535,17502351.0,128.0
257,cut_second,-1.5707963267899998,1,-1,17,7.41017004387,17502351.0,128.0
258,cut_first,0.0,1,-1,592,8.94748617005,17502351.0,129.0
259,cut_second,-1.5707963267899998,1,-1,592,8.6888461439,17502351.0,129.0
260,cut_first,0.0,1,-1,670,8.285370886,17502351.0,130.0
261,cut_second,-1.5707963267899998,1,-1,670,6.71302533174,17502351.0,130.0
262,cut_first,0.0,1,-1,569,4.74167752904,17502351.0,131.0
263,cut_second,-1.5707963267899998,1,-1,569,5.36213145552,17502351.0,131.0
