,sample_type,theta,cutp,cutn,seed_num,mes,stress_mean,sample_num
69,cut_second,-1.5707963267899998,1,-1,907,5.31939425372,16089497.3958,34.0
70,cut_first,0.0,1,-1,584,1.26178311309,10396302.5682,35.0
71,cut_second,-1.5707963267899998,1,-1,584,0.26029411664700003,10396302.5682,35.0
72,cut_first,0.0,1,-1,546,6.85385570756,16945709.6725,36.0
73,cut_second,-1.5707963267899998,1,-1,546,5.800666434349999,16945709.6725,36.0
74,cut_first,0.0,1,-1,267,6.90791479842,20964818.9247,37.0
75,cut_second,-1.5707963267899998,1,-1,267,6.89578236537,20964818.9247,37.0
76,cut_first,0.0,1,-1,26,6.486892365169999,19166985.0444,38.0
77,cut_second,-1.5707963267899998,1,-1,26,3.7347168278400003,19166985.0444,38.0
78,cut_first,0.0,1,-1,56,2.3535684617299997,8689310.27642,39.0
79,cut_second,-1.5707963267899998,1,-1,56,3.0549277000200004,8689310.27642,39.0
80,cut_first,0.0,1,-1,745,0.11354567665,10019288.1621,40.0
81,cut_second,-1.5707963267899998,1,-1,745,0.421201294142,10019288.1621,40.0
82,cut_first,0.0,1,-1,76,8.31221527579,25488635.6299,41.0
83,cut_second,-1.5707963267899998,1,-1,76,8.57244665819,25488635.6299,41.0
84,cut_first,0.0,1,-1,285,9.178737642849999,27398021.2461,42.0
85,cut_second,-1.5707963267899998,1,-1,285,7.7029928542600015,27398021.2461,42.0
86,cut_first,0.0,1,-1,330,2.01705170507,6006178.9629999995,43.0
87,cut_second,-1.5707963267899998,1,-1,330,2.26477422936,6006178.9629999995,43.0
88,cut_first,0.0,1,-1,896,14.745495551600001,35412424.682,44.0
89,cut_second,-1.5707963267899998,1,-1,896,15.9692868108,35412424.682,44.0
90,cut_first,0.0,1,-1,946,4.39316200223,12477998.9157,45.0
91,cut_second,-1.5707963267899998,1,-1,946,4.53762032158,12477998.9157,45.0
92,cut_first,0.0,1,-1,743,3.29015238855,10345980.5673,46.0
